Company,Person_Name,Title,Niche,Source_URL,Still_At_Company,Company_Active,Niche_Confirmed,Quality_Score,Pass_Fail,Disqualification_Reason
AFRL Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://afrl.af.mil,UNKNOWN,ACTIVE 2026,CONFIRMED — orbital quantum networking/cyber,2,PASS — find person in Phase 3,
AIST Japan Hub,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://aist.go.jp,UNKNOWN,ACTIVE 2026,CONFIRMED — materials/fab lead,2,PASS — find person in Phase 3,
AIT Austria Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://ait.ac.at,UNKNOWN,ACTIVE 2026,CONFIRMED — austrian national center,2,PASS — find person in Phase 3,
APS March Meeting,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://march.aps.org,UNKNOWN — no person name,ACTIVE 2025,MISALIGNED — academic society meeting,1,FAIL,Lead is a professional scientific meeting.
ARL Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://arl.army.mil,UNKNOWN,ACTIVE 2025,CONFIRMED — defense quantum sensing,2,PASS — find person in Phase 3,
Advantest,Joshua Aller,Principal Investigator,Academic-Government Quantum Programs,https://advantest.com,CONFIRMED 2024,ACTIVE 2024,CONFIRMED — quantum test equipment development,2,PASS,
Amethyst Research,Jeff Sharp,Principal Investigator,Academic-Government Quantum Programs,https://amethystresearch.com,CONFIRMED 2025,ACTIVE 2025,CONFIRMED — IR quantum sensors for SBIR,2,PASS,
Arizona St Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantum.asu.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University collaborative,2,PASS — find person in Phase 3,
BU Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://bu.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University center,2,PASS — find person in Phase 3,
Beijing Academy of QIS,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://baqis.ac.cn,UNKNOWN,ACTIVE 2026,CONFIRMED — massive Chinese research collective,2,PASS — find person in Phase 3,
Brookhaven NL,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://bnl.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — C2QA lead/networks,2,PASS — find person in Phase 3,
Brown Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://brown.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University center,2,PASS — find person in Phase 3,
CEA-Leti Quantum Division,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://leti-cea.com,UNKNOWN,ACTIVE 2026,CONFIRMED — silicon qubit fabrication hub,2,PASS — find person in Phase 3,
CMU Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://cmu.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University center,2,PASS — find person in Phase 3,
CQT Singapore Hub,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumlah.org,UNKNOWN,ACTIVE 2026,CONFIRMED — national research center,2,PASS — find person in Phase 3,
CSEM Switzerland Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://csem.ch,UNKNOWN,ACTIVE 2026,CONFIRMED — precision engineering and micro-sensing,2,PASS — find person in Phase 3,
Case Western Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://case.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University center,2,PASS — find person in Phase 3,
Chicago Quantum (CQE),UNKNOWN,Leadership,Academic-Government Quantum Programs,https://chicagoquantum.org,UNKNOWN,ACTIVE 2026,CONFIRMED — university-corporate alliance,2,PASS — find person in Phase 3,
Columbia Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://columbia.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University center,2,PASS — find person in Phase 3,
Cornell Quantum,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://cornell.edu,UNKNOWN,ACTIVE 2025,CONFIRMED — University center,2,PASS — find person in Phase 3,
DOE C2QA,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://bnl.gov/c2qa,UNKNOWN,ACTIVE 2026,CONFIRMED — Brookhaven lead center,2,PASS — find person in Phase 3,
DOE Q-CAN,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://q-can.energy.gov,UNKNOWN,ACTIVE 2025,CONFIRMED — network acceleration hub,2,PASS — find person in Phase 3,
DOE Q-NEXT,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://q-next.org,UNKNOWN,ACTIVE 2026,CONFIRMED — major industrial-national lab center,2,PASS — find person in Phase 3,
DOE QSA,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://quantumsystemsaccelerator.org,UNKNOWN,ACTIVE 2026,CONFIRMED — Berkeley lead center,2,PASS — find person in Phase 3,
DOE SQMS,UNKNOWN,Leadership,Academic-Government Quantum Programs,https://sqms.fnal.gov,UNKNOWN,ACTIVE 2026,CONFIRMED — Fermilab lead center,2,PASS — find person in Phase 3,
